Word,Keys,SubKeys,ClassficationConfidence,Site,Ignore,Note
Series,SERIES,,,Amazon,,
Part,PART,,,,,
Model,MODEL,,,,,
Color,COLOR,,,,,
Colour,COLOR,,,Amazon,,
Cell,BATTERY,BATTERY-CELL,,,,
Supply,POWERS,,,,,
Power,POWERS,,,,,
Battery,BATTERY,,,,,
AC,POWERS,,,,,
Adapter,POWERS,,,,,
Office,OFFICE,,,,,
Processor,"PROC, DGFX",,,,,
CPU,PROC,,,,,
AMD,PROC,PROC-BRAND,,,,
INTEL,PROC,PROC-BRAND,,,,
Ryzen,PROC,PROC-NAME,Y,,,
Core,PROC,"PROC-NAME, PROC-CORES",,,,
i3,PROC,PROC-NAME,Y,,,
i5,PROC,PROC-NAME,Y,,,
i7,PROC,PROC-NAME,Y,,,
i9,PROC,PROC-NAME,Y,,,
SSD,SSD,,Y,,,
Capacity,"SSD,RAM,HDD,IGFX,DGFX","SSD-SIZE,RAM-SIZE,HDD-SIZE,IGFX-SIZE,DGFX-SIZE",,,,
RAM,"RAM, DGFX",,,,,
Memory,"RAM, DGFX",,,,,
Dedicated,DGFX,,,,,
Graphic,"IGFX, DGFX",,,,,
GDDR,DGFX,DGFX-TYPE,Y,,,
DDR,"RAM, DGFX","RAM-TYPE, DGFX-TYPE",,,,
Radeon,DGFX,,Y,,,
Windows,OS-NAME,,Y,,,
Variant,PROC,PROC-VAR,,,,
GHz,"PROC, RAM","PROC-FREQ, RAM-FREQ",,,,
MHz,"PROC, RAM","PROC-FREQ, RAM-FREQ",,,,
Cache,PROC,PROC-CACHE,Y,,,
Turbo,PROC,PROC-FREQ,Y,,,
Clock,"PROC, RAM","PROC-FREQ, RAM-FREQ",,,,
Frequency,"PROC, RAM","PROC-FREQ, RAM-FREQ",,,,
Screen,DISP,,,,,
Resolution,DISP,DISP-RES,Y,,,
OS,OS,,,,,
Architecture,OS,OS-ARC,,,,
64,"OS, RAM","OS-ARC, RAM-SIZE",,,,
32,"OS, RAM","OS-ARC, RAM-SIZE",,,,
RJ45,ETH,,Y,,,
Ethernet,ETH,,Y,,,
USB,USB,,Y,,,
HDMI,HDML,,Y,,,
Mic,MIC,,,,,
Speaker,SPEKR,,Y,,,
Wireless,WIFI,,,,,
WiFi,WIFI,,Y,,,
Bluetooth,BLU,,Y,,,
Dimension,DIM,,,,,
Weight,WEIGHT,,Y,,,
Camera,CAM,,Y,,,
Keyboard,KEYB,,Y,,,
POINTER,TOUCHP,,,,,
WHr,BATTERY,,Y,,,
Warranty,WARTY,,Y,,,
Batteries,BATTERY,,Y,,,
Hard Drive,HDD,,Y,,,
